program_code,region,model_line,my,term_months,model_code,model_description,lease_cash,mf_tier_1,mf_tier_2,mf_tier_3,mf_tier_4,mf_tier_5,mf_tier_6,mf_tier_7,mf_tier_8,residual_pct
H202,MS,ELANTRA,2025,39,494G2F4S,4dr Sdn SEL Sport,0,0.00208,0.00208,0.00226,0.0024,0.0026,0.00273,0.00273,0.00354,0.57
H202,MS,ELANTRA,2025,39,494H2F4S,4dr Sdn SEL Convenience,0,0.00222,0.00222,0.0024,0.00254,0.00274,0.00287,0.00287,0.00354,0.56
H202,MS,ELANTRA,2025,39,494J2F4S,4dr Sdn Limited,0,0.00212,0.00212,0.0023,0.00244,0.00264,0.00277,0.00277,0.00354,0.56
H202,MS,ELANTRA,2025,48,49452FT5,4dr Sdn N-Line,0,0.0027,0.0027,0.0029,0.00307,0.00332,0.00345,0.00357,0.00413,0.5
H202,MS,ELANTRA,2025,48,494E2F4S,4dr Sdn SE,0,0.00261,0.00261,0.00281,0.00298,0.00323,0.00336,0.00348,0.00413,0.49
H202,MS,ELANTRA,2025,48,494G2F4S,4dr Sdn SEL Sport,250,0.00262,0.00262,0.00282,0.00299,0.00324,0.00337,0.00349,0.00413,0.47
H202,MS,ELANTRA,2025,48,494H2F4S,4dr Sdn SEL Convenience,0,0.00261,0.00261,0.00281,0.00298,0.00323,0.00336,0.00348,0.00413,0.46
H202,MS,ELANTRA,2025,48,494J2F4S,4dr Sdn Limited,0,0.00262,0.00262,0.00282,0.00299,0.00324,0.00337,0.00349,0.00413,0.47
H202,MS,ELANTRA HEV,2026,24,494B2FBS,4dr Sdn SEL Sport Hybrid,0,,,0.00126,0.00126,0.0014,0.00154,0.00166,0.00183,
H202,MS,ELANTRA HEV,2026,24,494C2FBS,4dr Sdn Blue Hybrid,500,,,0.00184,0.00184,0.00198,0.00212,0.00224,0.00241,
H202,MS,ELANTRA HEV,2026,24,494D2FBS,4dr Sdn Limited Hybrid,500,,,0.00183,0.00183,0.00197,0.00211,0.00223,0.0024,
H202,MS,ELANTRA HEV,2026,36,494B2FBS,4dr Sdn SEL Sport Hybrid,0,,,0.00274,0.00274,0.00292,0.00306,0.00326,0.00339,
H202,MS,ELANTRA HEV,2026,36,494C2FBS,4dr Sdn Blue Hybrid,0,,,0.00272,0.00272,0.0029,0.00304,0.00324,0.00337,
H202,MS,ELANTRA HEV,2026,36,494D2FBS,4dr Sdn Limited Hybrid,0,,,0.00264,0.00264,0.00282,0.00296,0.00316,0.00329,
H202,MS,ELANTRA HEV,2026,39,494B2FBS,4dr Sdn SEL Sport Hybrid,0,,,0.00274,0.00274,0.00292,0.00306,0.00326,0.00339,
H202,MS,ELANTRA HEV,2026,39,494C2FBS,4dr Sdn Blue Hybrid,0,,,0.00274,0.00274,0.00292,0.00306,0.00326,0.00339,
H202,MS,ELANTRA HEV,2026,39,494D2FBS,4dr Sdn Limited Hybrid,0,,,0.00272,0.00272,0.0029,0.00304,0.00324,0.00337,
H202,MS,ELANTRA HEV,2026,48,494B2FBS,4dr Sdn SEL Sport Hybrid,0,,,0.00314,0.00314,0.00334,0.00351,0.00376,0.00389,
H202,MS,ELANTRA HEV,2026,48,494C2FBS,4dr Sdn Blue Hybrid,0,,,0.00314,0.00314,0.00334,0.00351,0.00376,0.00389,
H202,MS,ELANTRA HEV,2026,48,494D2FBS,4dr Sdn Limited Hybrid,0,,,0.00315,0.00315,0.00335,0.00352,0.00377,0.0039,
H202,MS,ELANTRA HEV,2025,24,494B2FBS,4dr Sdn HEV SEL Sport,1500,,,0.00204,0.00204,0.00218,0.00232,0.00244,0.00261,
H202,MS,ELANTRA HEV,2025,24,494C2FBS,4dr Sdn HEV Blue,1000,,,0.0019,0.0019,0.00204,0.00218,0.0023,0.00247,
H202,MS,ELANTRA HEV,2025,24,494D2FBS,4dr Sdn HEV Limited,1250,,,0.00185,0.00185,0.00199,0.00213,0.00225,0.00242,
H202,MS,ELANTRA HEV,2025,36,494B2FBS,4dr Sdn HEV SEL Sport,250,,,0.00214,0.00214,0.00232,0.00246,0.00266,0.00279,
H202,MS,ELANTRA HEV,2025,36,494C2FBS,4dr Sdn HEV Blue,0,,,0.00225,0.00225,0.00243,0.00257,0.00277,0.0029,
H202,MS,ELANTRA HEV,2025,36,494D2FBS,4dr Sdn HEV Limited,0,,,0.00224,0.00224,0.00242,0.00256,0.00276,0.00289,
H202,MS,ELANTRA HEV,2025,39,494B2FBS,4dr Sdn HEV SEL Sport,0,,,0.00214,0.00214,0.00232,0.00246,0.00266,0.00279,
H202,MS,ELANTRA HEV,2025,39,494C2FBS,4dr Sdn HEV Blue,0,,,0.00226,0.00226,0.00244,0.00258,0.00278,0.00291,
H202,MS,ELANTRA HEV,2025,39,494D2FBS,4dr Sdn HEV Limited,0,,,0.00216,0.00216,0.00234,0.00248,0.00268,0.00281,
H202,MS,ELANTRA HEV,2025,48,494B2FBS,4dr Sdn HEV SEL Sport,0,,,0.00266,0.00266,0.00286,0.00303,0.00328,0.00341,
H202,MS,ELANTRA HEV,2025,48,494C2FBS,4dr Sdn HEV Blue,0,,,0.00263,0.00263,0.00283,0.003,0.00325,0.00338,
H202,MS,ELANTRA HEV,2025,48,494D2FBS,4dr Sdn HEV Limited,0,,,0.00272,0.00272,0.00326,0.00343,0.00368,0.00381,
H202,MS,ELANTRA N,2026,36,4N4A2FT5,4dr Sdn N,0,,,0.00227,0.00263,0.00281,0.00295,0.00315,0.00328,
H202,MS,ELANTRA N,2026,36,4N4A3FT5,4dr Sdn N MT,0,,,0.00227,0.00263,0.00281,0.00295,0.00315,0.00328,
